direction,tick,RED60,BLUE60,BLACK60,BLUE60_PG,parity_xor_bits,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_mask,BLUE_prime_mask,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean,BLACK_gate_viz,parity_gate_viz
CW,0,113031491493585389543778774590997079619617525721567332336510,012776329785893036118967145479098334781325217074992143965631,011235831459437077415617853819099875279651673033695493257291,197079419417525321567732736510913031691693585789543378374590,110110101101101100000000000110110110101101101100000000000110,113031|336510,012776|965631,1,5,1,1,001010000001101100101110110100001010000001111110101111110100,001110110101001010000001001010000110100111101010001001001010,29,25,2,54,1.11,2,56,1.07,·██·····█· | ·········█ | ··█·····█· | ·········· | ·█········ | ·········█,██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██ | ·██·██···· | ·······██·
CW,1,130314914935853895437787745909970796196175257215673323365101,127763297858930361189671454790983347813252170749921439656310,112358314594370774156178538190998752796516730336954932572910,970794194175253215677327365109130316916935857895433783745901,101101011011011000000000001101101101011011011000000000001101,130314|365101,127763|656310,1,5,1,1,010100000011011001011101101000010100000011111101011111101000,011101101010010100000010010100001101001111010100010010010100,29,25,2,55,1.09,2,56,1.07,██·····█·· | ········█· | ·█·····█·· | ·········· | █········· | ········█·,█·██·█·██· | ██·██····· | ······██·█ | █·██·█·██· | ██·██····· | ······██·█
CW,2,303149149358538954377877459099707961961752572156733233651011,277632978589303611896714547909833478132521707499214396563101,123583145943707741561785381909987527965167303369549325729101,707941941752532156773273651091303169169358578954337837459019,011010110110110000000000011011011010110110110000000000011011,303149|651011,277632|563101,1,5,1,1,101000000110110010111011010000101000000111111010111111010000,111011010100101000000100101000011010011110101000100100101000,29,25,2,54,1.11,2,56,1.07,█·····█··· | ·······█·· | █·····█··· | ·········█ | ·········· | ·······█·█,·██·█·██·█ | █·██······ | ·····██·██ | ·██·█·██·█ | █·██······ | ·····██·██
CW,3,031491493585389543778774590997079619617525721567332336510113,776329785893036118967145479098334781325217074992143965631012,235831459437077415617853819099875279651673033695493257291011,079419417525321567732736510913031691693585789543378374590197,110101101101100000000000110110110101101101100000000000110110,031491|510113,776329|631012,1,5,1,1,010000001101100101110110100001010000001111110101111110100001,110110101001010000001001010000110100111101010001001001010001,29,25,2,54,1.11,2,56,1.07,·····█···· | ······█··█ | ·····█···· | ········█· | ·········· | ······█·██,██·█·██·██ | ·██······· | ····██·██· | ██·█·██·██ | ·██······· | ····██·██·
CW,4,314914935853895437787745909970796196175257215673323365101130,763297858930361189671454790983347813252170749921439656310127,358314594370774156178538190998752796516730336954932572910112,794194175253215677327365109130316916935857895433783745901970,101011011011000000000001101101101011011011000000000001101101,314914|101130,763297|310127,1,5,1,1,100000011011001011101101000010100000011111101011111101000010,101101010010100000010010100001101001111010100010010010100011,29,25,2,54,1.11,2,57,1.05,····█····· | ·····█··█· | ····█····· | ·······█·· | ·········· | ·····█·██·,█·█·██·██· | ██········ | ···██·██·█ | █·█·██·██· | ██········ | ···██·██·█
CW,5,149149358538954377877459099707961961752572156733233651011303,632978589303611896714547909833478132521707499214396563101277,583145943707741561785381909987527965167303369549325729101123,941941752532156773273651091303169169358578954337837459019707,010110110110000000000011011011010110110110000000000011011011,149149|011303,632978|101277,1,5,1,1,000000110110010111011010000101000000111111010111111010000101,011010100101000000100101000011010011110101000100100101000111,29,25,2,54,1.11,2,56,1.07,···█······ | ····█··█·· | ···█······ | ······█··· | ·········· | ····█·██··,·█·██·██·█ | █········· | ··██·██·██ | ·█·██·██·█ | █········· | ··██·██·██
CW,6,491493585389543778774590997079619617525721567332336510113031,329785893036118967145479098334781325217074992143965631012776,831459437077415617853819099875279651673033695493257291011235,419417525321567732736510913031691693585789543378374590197079,101101101100000000000110110110101101101100000000000110110110,491493|113031,329785|012776,1,5,1,1,000001101100101110110100001010000001111110101111110100001010,110101001010000001001010000110100111101010001001001010001110,29,25,2,54,1.11,2,56,1.07,··█······· | ···█··█··· | ··█······· | ·····█···· | ·········· | ···█·██···,█·██·██·██ | ·········· | ·██·██·██· | █·██·██·██ | ·········· | ·██·██·██·
CW,7,914935853895437787745909970796196175257215673323365101130314,297858930361189671454790983347813252170749921439656310127763,314594370774156178538190998752796516730336954932572910112358,194175253215677327365109130316916935857895433783745901970794,011011011000000000001101101101011011011000000000001101101101,914935|130314,297858|127763,1,5,1,1,000011011001011101101000010100000011111101011111101000010100,101010010100000010010100001101001111010100010010010100011101,29,25,2,54,1.11,2,56,1.07,·█········ | ··█··█···· | ·█········ | ····█····· | ·········· | ··█·██····,·██·██·██· | ·········· | ██·██·██·█ | ·██·██·██· | ·········· | ██·██·██·█
CW,8,149358538954377877459099707961961752572156733233651011303149,978589303611896714547909833478132521707499214396563101277632,145943707741561785381909987527965167303369549325729101123583,941752532156773273651091303169169358578954337837459019707941,110110110000000000011011011010110110110000000000011011011010,149358|303149,978589|277632,1,5,1,1,000110110010111011010000101000000111111010111111010000101000,010100101000000100101000011010011110101000100100101000111011,29,25,2,54,1.11,2,56,1.07,█········· | ·█··█····· | █········· | ···█······ | ·········· | ·█·██·····,██·██·██·· | ·········█ | █·██·██·█· | ██·██·██·· | ·········█ | █·██·██·█·
CW,9,493585389543778774590997079619617525721567332336510113031491,785893036118967145479098334781325217074992143965631012776329,459437077415617853819099875279651673033695493257291011235831,417525321567732736510913031691693585789543378374590197079419,101101100000000000110110110101101101100000000000110110110101,493585|031491,785893|776329,1,5,1,1,001101100101110110100001010000001111110101111110100001010000,101001010000001001010000110100111101010001001001010001110110,29,25,2,54,1.11,2,56,1.07,·········· | █··█·····█ | ·········· | ··█······· | ·········· | █·██·····█,█·██·██··· | ········██ | ·██·██·█·█ | █·██·██··· | ········██ | ·██·██·█·█
CW,10,935853895437787745909970796196175257215673323365101130314914,858930361189671454790983347813252170749921439656310127763297,594370774156178538190998752796516730336954932572910112358314,175253215677327365109130316916935857895433783745901970794194,011011000000000001101101101011011011000000000001101101101011,935853|314914,858930|763297,1,5,1,1,011011001011101101000010100000011111101011111101000010100000,010010100000010010100001101001111010100010010010100011101101,29,25,2,54,1.11,2,56,1.07,·········█ | ··█·····█· | ·········· | ·█········ | ·········█ | ·██·····█·,·██·██···· | ·······██· | ██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██
CW,11,358538954377877459099707961961752572156733233651011303149149,589303611896714547909833478132521707499214396563101277632978,943707741561785381909987527965167303369549325729101123583145,752532156773273651091303169169358578954337837459019707941941,110110000000000011011011010110110110000000000011011011010110,358538|149149,589303|632978,1,5,1,1,110110010111011010000101000000111111010111111010000101000000,100101000000100101000011010011110101000100100101000111011010,29,25,2,54,1.11,2,56,1.07,········█· | ·█·····█·· | ·········· | █········· | ········█· | ██·····█··,██·██····· | ······██·█ | █·██·█·██· | ██·██····· | ······██·█ | █·██·█·██·
CW,12,585389543778774590997079619617525721567332336510113031491493,893036118967145479098334781325217074992143965631012776329785,437077415617853819099875279651673033695493257291011235831459,525321567732736510913031691693585789543378374590197079419417,101100000000000110110110101101101100000000000110110110101101,585389|491493,893036|329785,1,5,1,1,101100101110110100001010000001111110101111110100001010000001,001010000001001010000110100111101010001001001010001110110101,29,25,2,54,1.11,2,56,1.07,·······█·· | █·····█··· | ·········█ | ·········· | ·······█·█ | █·····█···,█·██······ | ·····██·██ | ·██·█·██·█ | █·██······ | ·····██·██ | ·██·█·██·█
CW,13,853895437787745909970796196175257215673323365101130314914935,930361189671454790983347813252170749921439656310127763297858,370774156178538190998752796516730336954932572910112358314594,253215677327365109130316916935857895433783745901970794194175,011000000000001101101101011011011000000000001101101101011011,853895|914935,930361|297858,1,5,1,1,011001011101101000010100000011111101011111101000010100000011,010100000010010100001101001111010100010010010100011101101010,29,25,2,54,1.11,2,56,1.07,······█··█ | ·····█···· | ········█· | ·········· | ······█·██ | ·····█····,·██······· | ····██·██· | ██·█·██·██ | ·██······· | ····██·██· | ██·█·██·██
CW,14,538954377877459099707961961752572156733233651011303149149358,303611896714547909833478132521707499214396563101277632978589,707741561785381909987527965167303369549325729101123583145943,532156773273651091303169169358578954337837459019707941941752,110000000000011011011010110110110000000000011011011010110110,538954|149358,303611|978589,1,5,1,1,110010111011010000101000000111111010111111010000101000000110,101000000100101000011010011110101000100100101000111011010100,29,25,2,54,1.11,2,56,1.07,·····█··█· | ····█····· | ·······█·· | ·········· | ·····█·██· | ····█·····,██········ | ···██·██·█ | █·█·██·██· | ██········ | ···██·██·█ | █·█·██·██·
CW,15,389543778774590997079619617525721567332336510113031491493585,036118967145479098334781325217074992143965631012776329785893,077415617853819099875279651673033695493257291011235831459437,321567732736510913031691693585789543378374590197079419417525,100000000000110110110101101101100000000000110110110101101101,389543|493585,036118|785893,1,5,1,1,100101110110100001010000001111110101111110100001010000001101,010000001001010000110100111101010001001001010001110110101001,29,25,2,54,1.11,2,56,1.07,····█··█·· | ···█······ | ······█··· | ·········· | ····█·██·· | ···█······,█········· | ··██·██·██ | ·█·██·██·█ | █········· | ··██·██·██ | ·█·██·██·█
CW,16,895437787745909970796196175257215673323365101130314914935853,361189671454790983347813252170749921439656310127763297858930,774156178538190998752796516730336954932572910112358314594370,215677327365109130316916935857895433783745901970794194175253,000000000001101101101011011011000000000001101101101011011011,895437|935853,361189|858930,1,5,1,1,001011101101000010100000011111101011111101000010100000011011,100000010010100001101001111010100010010010100011101101010010,29,25,2,54,1.11,2,56,1.07,···█··█··· | ··█······· | ·····█···· | ·········· | ···█·██··· | ··█·······,·········· | ·██·██·██· | █·██·██·██ | ·········· | ·██·██·██· | █·██·██·██
CW,17,954377877459099707961961752572156733233651011303149149358538,611896714547909833478132521707499214396563101277632978589303,741561785381909987527965167303369549325729101123583145943707,156773273651091303169169358578954337837459019707941941752532,000000000011011011010110110110000000000011011011010110110110,954377|358538,611896|589303,1,5,1,1,010111011010000101000000111111010111111010000101000000110110,000000100101000011010011110101000100100101000111011010100101,29,25,2,54,1.11,2,56,1.07,··█··█···· | ·█········ | ····█····· | ·········· | ··█·██···· | ·█········,·········· | ██·██·██·█ | ·██·██·██· | ·········· | ██·██·██·█ | ·██·██·██·
CW,18,543778774590997079619617525721567332336510113031491493585389,118967145479098334781325217074992143965631012776329785893036,415617853819099875279651673033695493257291011235831459437077,567732736510913031691693585789543378374590197079419417525321,000000000110110110101101101100000000000110110110101101101100,543778|585389,118967|893036,1,5,1,1,101110110100001010000001111110101111110100001010000001101100,000001001010000110100111101010001001001010001110110101001010,29,25,2,54,1.11,2,56,1.07,·█··█····· | █········· | ···█······ | ·········· | ·█·██····· | █·········,·········█ | █·██·██·█· | ██·██·██·· | ·········█ | █·██·██·█· | ██·██·██··
CW,19,437787745909970796196175257215673323365101130314914935853895,189671454790983347813252170749921439656310127763297858930361,156178538190998752796516730336954932572910112358314594370774,677327365109130316916935857895433783745901970794194175253215,000000001101101101011011011000000000001101101101011011011000,437787|853895,189671|930361,1,5,1,1,011101101000010100000011111101011111101000010100000011011001,000010010100001101001111010100010010010100011101101010010100,29,25,2,54,1.11,2,57,1.05,█··█·····█ | ·········· | ··█······· | ·········· | █·██·····█ | ··········,········██ | ·██·██·█·█ | █·██·██··· | ········██ | ·██·██·█·█ | █·██·██···
CW,20,377877459099707961961752572156733233651011303149149358538954,896714547909833478132521707499214396563101277632978589303611,561785381909987527965167303369549325729101123583145943707741,773273651091303169169358578954337837459019707941941752532156,000000011011011010110110110000000000011011011010110110110000,377877|538954,896714|303611,1,5,1,1,111011010000101000000111111010111111010000101000000110110010,000100101000011010011110101000100100101000111011010100101000,29,25,2,54,1.11,2,56,1.07,··█·····█· | ·········· | ·█········ | ·········█ | ·██·····█· | ·········█,·······██· | ██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██ | ·██·██····
CW,21,778774590997079619617525721567332336510113031491493585389543,967145479098334781325217074992143965631012776329785893036118,617853819099875279651673033695493257291011235831459437077415,732736510913031691693585789543378374590197079419417525321567,000000110110110101101101100000000000110110110101101101100000,778774|389543,967145|036118,1,5,1,1,110110100001010000001111110101111110100001010000001101100101,001001010000110100111101010001001001010001110110101001010000,29,25,2,54,1.11,2,56,1.07,·█·····█·· | ·········· | █········· | ········█· | ██·····█·· | ········█·,······██·█ | █·██·█·██· | ██·██····· | ······██·█ | █·██·█·██· | ██·██·····
CW,22,787745909970796196175257215673323365101130314914935853895437,671454790983347813252170749921439656310127763297858930361189,178538190998752796516730336954932572910112358314594370774156,327365109130316916935857895433783745901970794194175253215677,000001101101101011011011000000000001101101101011011011000000,787745|895437,671454|361189,1,5,1,1,101101000010100000011111101011111101000010100000011011001011,010010100001101001111010100010010010100011101101010010100000,29,25,2,55,1.09,2,56,1.07,█·····█··· | ·········█ | ·········· | ·······█·█ | █·····█··· | ·······█··,·····██·██ | ·██·█·██·█ | █·██······ | ·····██·██ | ·██·█·██·█ | █·██······
CW,23,877459099707961961752572156733233651011303149149358538954377,714547909833478132521707499214396563101277632978589303611896,785381909987527965167303369549325729101123583145943707741561,273651091303169169358578954337837459019707941941752532156773,000011011011010110110110000000000011011011010110110110000000,877459|954377,714547|611896,1,5,1,1,011010000101000000111111010111111010000101000000110110010111,100101000011010011110101000100100101000111011010100101000000,29,25,2,54,1.11,2,56,1.07,·····█···· | ········█· | ·········· | ······█·██ | ·····█···· | ······█··█,····██·██· | ██·█·██·██ | ·██······· | ····██·██· | ██·█·██·██ | ·██·······
CW,24,774590997079619617525721567332336510113031491493585389543778,145479098334781325217074992143965631012776329785893036118967,853819099875279651673033695493257291011235831459437077415617,736510913031691693585789543378374590197079419417525321567732,000110110110101101101100000000000110110110101101101100000000,774590|543778,145479|118967,1,5,1,1,110100001010000001111110101111110100001010000001101100101110,001010000110100111101010001001001010001110110101001010000001,29,25,2,54,1.11,2,56,1.07,····█····· | ·······█·· | ·········· | ·····█·██· | ····█····· | ·····█··█·,···██·██·█ | █·█·██·██· | ██········ | ···██·██·█ | █·█·██·██· | ██········
CW,25,745909970796196175257215673323365101130314914935853895437787,454790983347813252170749921439656310127763297858930361189671,538190998752796516730336954932572910112358314594370774156178,365109130316916935857895433783745901970794194175253215677327,001101101101011011011000000000001101101101011011011000000000,745909|437787,454790|189671,1,5,1,1,101000010100000011111101011111101000010100000011011001011101,010100001101001111010100010010010100011101101010010100000010,29,25,2,55,1.09,2,56,1.07,···█······ | ······█··· | ·········· | ····█·██·· | ···█······ | ····█··█··,··██·██·██ | ·█·██·██·█ | █········· | ··██·██·██ | ·█·██·██·█ | █·········
CW,26,459099707961961752572156733233651011303149149358538954377877,547909833478132521707499214396563101277632978589303611896714,381909987527965167303369549325729101123583145943707741561785,651091303169169358578954337837459019707941941752532156773273,011011011010110110110000000000011011011010110110110000000000,459099|377877,547909|896714,1,5,1,1,010000101000000111111010111111010000101000000110110010111011,101000011010011110101000100100101000111011010100101000000100,29,25,2,54,1.11,2,56,1.07,··█······· | ·····█···· | ·········· | ···█·██··· | ··█······· | ···█··█···,·██·██·██· | █·██·██·██ | ·········· | ·██·██·██· | █·██·██·██ | ··········
CW,27,590997079619617525721567332336510113031491493585389543778774,479098334781325217074992143965631012776329785893036118967145,819099875279651673033695493257291011235831459437077415617853,510913031691693585789543378374590197079419417525321567732736,110110110101101101100000000000110110110101101101100000000000,590997|778774,479098|967145,1,5,1,1,100001010000001111110101111110100001010000001101100101110110,010000110100111101010001001001010001110110101001010000001001,29,25,2,54,1.11,2,56,1.07,·█········ | ····█····· | ·········· | ··█·██···· | ·█········ | ··█··█····,██·██·██·█ | ·██·██·██· | ·········· | ██·██·██·█ | ·██·██·██· | ··········
CW,28,909970796196175257215673323365101130314914935853895437787745,790983347813252170749921439656310127763297858930361189671454,190998752796516730336954932572910112358314594370774156178538,109130316916935857895433783745901970794194175253215677327365,101101101011011011000000000001101101101011011011000000000001,909970|787745,790983|671454,1,5,1,1,000010100000011111101011111101000010100000011011001011101101,100001101001111010100010010010100011101101010010100000010010,29,25,2,54,1.11,2,56,1.07,█········· | ···█······ | ·········· | ·█·██····· | █········· | ·█··█·····,█·██·██·█· | ██·██·██·· | ·········█ | █·██·██·█· | ██·██·██·· | ·········█
CW,29,099707961961752572156733233651011303149149358538954377877459,909833478132521707499214396563101277632978589303611896714547,909987527965167303369549325729101123583145943707741561785381,091303169169358578954337837459019707941941752532156773273651,011011010110110110000000000011011011010110110110000000000011,099707|877459,909833|714547,1,5,1,1,000101000000111111010111111010000101000000110110010111011010,000011010011110101000100100101000111011010100101000000100101,29,25,2,54,1.11,2,56,1.07,·········· | ··█······· | ·········· | █·██·····█ | ·········· | █··█·····█,·██·██·█·█ | █·██·██··· | ········██ | ·██·██·█·█ | █·██·██··· | ········██
CW,30,997079619617525721567332336510113031491493585389543778774590,098334781325217074992143965631012776329785893036118967145479,099875279651673033695493257291011235831459437077415617853819,913031691693585789543378374590197079419417525321567732736510,110110101101101100000000000110110110101101101100000000000110,997079|774590,098334|145479,1,5,1,1,001010000001111110101111110100001010000001101100101110110100,000110100111101010001001001010001110110101001010000001001010,29,25,2,54,1.11,2,56,1.07,·········· | ·█········ | ·········█ | ·██·····█· | ·········█ | ··█·····█·,██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██ | ·██·██···· | ·······██·
CW,31,970796196175257215673323365101130314914935853895437787745909,983347813252170749921439656310127763297858930361189671454790,998752796516730336954932572910112358314594370774156178538190,130316916935857895433783745901970794194175253215677327365109,101101011011011000000000001101101101011011011000000000001101,970796|745909,983347|454790,1,5,1,1,010100000011111101011111101000010100000011011001011101101000,001101001111010100010010010100011101101010010100000010010100,29,25,2,55,1.09,2,56,1.07,·········· | █········· | ········█· | ██·····█·· | ········█· | ·█·····█··,█·██·█·██· | ██·██····· | ······██·█ | █·██·█·██· | ██·██····· | ······██·█
CW,32,707961961752572156733233651011303149149358538954377877459099,833478132521707499214396563101277632978589303611896714547909,987527965167303369549325729101123583145943707741561785381909,303169169358578954337837459019707941941752532156773273651091,011010110110110000000000011011011010110110110000000000011011,707961|459099,833478|547909,1,5,1,1,101000000111111010111111010000101000000110110010111011010000,011010011110101000100100101000111011010100101000000100101000,29,25,2,54,1.11,2,56,1.07,·········█ | ·········· | ·······█·█ | █·····█··· | ·······█·· | █·····█···,·██·█·██·█ | █·██······ | ·····██·██ | ·██·█·██·█ | █·██······ | ·····██·██
CW,33,079619617525721567332336510113031491493585389543778774590997,334781325217074992143965631012776329785893036118967145479098,875279651673033695493257291011235831459437077415617853819099,031691693585789543378374590197079419417525321567732736510913,110101101101100000000000110110110101101101100000000000110110,079619|590997,334781|479098,1,5,1,1,010000001111110101111110100001010000001101100101110110100001,110100111101010001001001010001110110101001010000001001010000,29,25,2,54,1.11,2,56,1.07,········█· | ·········· | ······█·██ | ·····█···· | ······█··█ | ·····█····,██·█·██·██ | ·██······· | ····██·██· | ██·█·██·██ | ·██······· | ····██·██·
CW,34,796196175257215673323365101130314914935853895437787745909970,347813252170749921439656310127763297858930361189671454790983,752796516730336954932572910112358314594370774156178538190998,316916935857895433783745901970794194175253215677327365109130,101011011011000000000001101101101011011011000000000001101101,796196|909970,347813|790983,1,5,1,1,100000011111101011111101000010100000011011001011101101000010,101001111010100010010010100011101101010010100000010010100001,29,25,2,54,1.11,2,57,1.05,·······█·· | ·········· | ·····█·██· | ····█····· | ·····█··█· | ····█·····,█·█·██·██· | ██········ | ···██·██·█ | █·█·██·██· | ██········ | ···██·██·█
CW,35,961961752572156733233651011303149149358538954377877459099707,478132521707499214396563101277632978589303611896714547909833,527965167303369549325729101123583145943707741561785381909987,169169358578954337837459019707941941752532156773273651091303,010110110110000000000011011011010110110110000000000011011011,961961|099707,478132|909833,1,5,1,1,000000111111010111111010000101000000110110010111011010000101,010011110101000100100101000111011010100101000000100101000011,29,25,2,54,1.11,2,56,1.07,······█··· | ·········· | ····█·██·· | ···█······ | ····█··█·· | ···█······,·█·██·██·█ | █········· | ··██·██·██ | ·█·██·██·█ | █········· | ··██·██·██
CW,36,619617525721567332336510113031491493585389543778774590997079,781325217074992143965631012776329785893036118967145479098334,279651673033695493257291011235831459437077415617853819099875,691693585789543378374590197079419417525321567732736510913031,101101101100000000000110110110101101101100000000000110110110,619617|997079,781325|098334,1,5,1,1,000001111110101111110100001010000001101100101110110100001010,100111101010001001001010001110110101001010000001001010000110,29,25,2,54,1.11,2,56,1.07,·····█···· | ·········· | ···█·██··· | ··█······· | ···█··█··· | ··█·······,█·██·██·██ | ·········· | ·██·██·██· | █·██·██·██ | ·········· | ·██·██·██·
CW,37,196175257215673323365101130314914935853895437787745909970796,813252170749921439656310127763297858930361189671454790983347,796516730336954932572910112358314594370774156178538190998752,916935857895433783745901970794194175253215677327365109130316,011011011000000000001101101101011011011000000000001101101101,196175|970796,813252|983347,1,5,1,1,000011111101011111101000010100000011011001011101101000010100,001111010100010010010100011101101010010100000010010100001101,29,25,2,54,1.11,2,56,1.07,····█····· | ·········· | ··█·██···· | ·█········ | ··█··█···· | ·█········,·██·██·██· | ·········· | ██·██·██·█ | ·██·██·██· | ·········· | ██·██·██·█
CW,38,961752572156733233651011303149149358538954377877459099707961,132521707499214396563101277632978589303611896714547909833478,965167303369549325729101123583145943707741561785381909987527,169358578954337837459019707941941752532156773273651091303169,110110110000000000011011011010110110110000000000011011011010,961752|707961,132521|833478,1,5,1,1,000111111010111111010000101000000110110010111011010000101000,011110101000100100101000111011010100101000000100101000011010,29,25,2,54,1.11,2,56,1.07,···█······ | ·········· | ·█·██····· | █········· | ·█··█····· | █·········,██·██·██·· | ·········█ | █·██·██·█· | ██·██·██·· | ·········█ | █·██·██·█·
